mõõdik,kuu_1,kuu_2,kuu_3,kuu_4,kuu_5,kuu_6,trend,märkmed
registreerumisi_kokku,1850,2340,2890,3420,3810,4120,kasvav,"Hea hankimine, baristad suruvad registreerumisi"
kuised_aktiivsed_kasutajad,1200,980,760,620,540,480,langev,"See on probleem – inimesed registreeruvad ja lahkuvad"
äpi_avamisi_kasutaja_kohta,4.2,3.1,2.4,1.9,1.6,1.4,langev,"Vähem kaasatust aja jooksul"
kesk_külastusi_kuus,3.8,2.9,2.4,2.1,1.8,1.6,langev,"Külastuste sagedus langeb"
lunastatud_punktid,342,298,267,231,198,176,langev,"Vähem inimesi jõuab preemiateni"
tase_trailblazer_prot,72,78,82,85,87,89,kasvav,"Enamus liikmeid jääb madalaimale tasemele pidama"
tase_explorer_prot,21,17,14,12,10,9,langev,"Vähem jõuab keskmisele tasemele"
tase_summit_prot,7,5,4,3,3,2,langev,"Peaaegu keegi ei jõua tipptasemele"
30_päeva_hoidmine,45,38,34,31,29,27,langev,"Inimesed lahkuvad kiiremini"
90_päeva_hoidmine,28,24,21,18,16,14,langev,"Pikaajaline hoidmine on kohutav"
nps_programm,34,28,22,18,15,12,langev,"Rahulolu langeb"
nps_üldine_bränd,67,65,66,68,67,66,stabiilne,"Bränd endiselt tugev, programm nõrk"
tõuketeavituste_avamised,12,10,8,7,6,5,langev,"Inimesed eiravad meid"
emaili_avamismäär,18,16,14,13,12,11,langev,"Meilid muutuvad müraks"
kesk_päevi_külastuste_vahel,4.2,5.1,6.3,7.8,9.2,10.4,kasvav,"Pikemad vahed külastuste vahel"
kadu_konkurendile,teadmata,teadmata,12,14,16,18,kasvav,"Kaotame liikmeid Starbucksile/Dutch Brosile"
liikme_eluaegne_väärtus,47,42,38,35,32,29,langev,"Iga liige väärt vähem aja jooksul"
programmi_kulu_liikme_kohta,8.50,9.20,10.10,11.30,12.80,14.50,kasvav,"Muutub kallimaks liikme kohta"
roi_hinnang,1.8,1.5,1.2,0.9,0.7,0.5,langev,"ROI läheb peagi negatiivseks"
